,Title,Rating,Employee_Status,Pros,Cons,Date_Posted,Employee_Title,Location,
0,Great Culture and Company That Cares,4,Current Employee,Not much politics and very few ego's. Everyone is willing to help which is refreshing. Not very tough recruiting A Player Talent as Aptiv is a place where most want to work.,Need to focus on career growth and promoting within. Not much movement with internal candidates which turns into employees leaving.,13-Jan-21, Senior Corporate Recruiter in Troy, MI,
1,Shaping the Future of Mobility!,5,"Current Employee, more than 1 year","Global Work Environment, Cutting Edge Technology Sector, Interesting Challenges",None to mention at this time.,14-Apr-21, Program Manager in Dublin, Dublin,
2,Lots of potential- getting there,4,"Current Employee, more than 1 year","A very fast paced environment - you definitely won't be bored and you learn lots in a short space of time A very global company- exciting to work with some many colleagues from all over the world, if a little daunting at first You can make decisions fast - less bureaucracy that other companies Really nice office facilities, young energetic team of people, good work colleagues.",Training and coaching could be better- high expectations but needs more structure and stability to help people succeed,22-May-21, SCM in Dublin, Dublin,
3,Alright but not the best,3,"Current Employee, more than 1 year","Excellent office, good staff, good pay, good benefits","Dis organised, office politics at mid/top level, not sociable, some poor managers",08-Mar-21, Business Analyst in Dublin, Dublin,
4,Aptiv,3,Current Employee,It is one of the leaders in the automotive industry in the tier-1 supplier's segment.,"High pressure for hitting numbers, it is more important than people. You feel that no reasons are valid if you don't hit the numbers. It is typical behavior in US companies, I have worked in other previously.",07-Nov-20, Supply Chain in Dublin, Dublin,
5,Black stain on the IDA - Kevin and Joe Show - no encore needed,1,"Current Employee, less than 1 year","The marketing department is great at creating positive reviews on glassdoor. Disregard the obvious fake reviews, challenging work environment is short for toxic and unraveling as a recent million dollar survey announced. Can be hard to get your head around the global scale and complex divisional structures really means aptiv is full of fiefdom, to get anything done you need to follow a broken process using broken systems for no thought out reason for no recognition. Question anything - fired. have an opinion - fired. talk out of turn - fired. try something different - fired. The fear and toxic culture comes from CEO CFO dynamic duo all they way down - the need to impress wall street at all costs means nothing matters only numbers. Culture is a joke there is none. They are Trumpian rip off merchants overpaying themselves to fly all over the world telling people how important they are, Look out for them with their begging bowl in the coming months.",Everything about this place is a con. Dont worry they will be shedding most of the irish workforce soon enough and move onto the next country willing to put up with the Kevin and Joe show.,11-May-20, Financial Analyst in Dublin, Dublin,
6,"Bad culture, no HR alignment",1,"Current Employee, more than 3 years","Fairly okay salary, key stakeholders good to work with","HR is all over the place, no centralised HR, global comms are not aligned with local comms, miscommunication, favoritism, no annual bonus, poor incentives for HR team",13-Jan-21, Human Resources Business Partner HRBP in Dublin, Dublin,
7,Good working place,4,Former Employee,good package comparing to other companies,IT chaos in terms of org and process,07-Nov-20, Solutions Architect in Dublin, Dublin,
8,"Very good company advancing the technology for a safer, greener solutions for the future of mobility.",5,Current Employee,#NAME?,#NAME?,10-Aug-20, EMEA Internal Audit, Sox & Compliance in Dublin, Dublin
9,Soulless company that grinds you into dust,1,"Current Employee, more than 1 year","Beautiful offices, friendly work colleagues, free coffee and food, central location.","This is the hardest company I've ever worked for - hard not because of the work, but because leadership make loyalty very difficult. I've spent my entire time here constantly wondering if the scheduled meeting with my manager is about me being fired. Honestly, I am only here until they fire me (which could be any day even though I excel in my reviews) or when I find a better job. Aptiv has either fired or lost all the hardworking, competent and talented staff they had in the last six months. Why? Because they are likely showing up their managers by being able to answer the questions and solve the problems they can't. And, of course costs, despite raising the GDP of a small nation in investment in the last quarter. To get a bit of perspective on the culture here: Aptiv's CEO told all staff on a company-wide call that work-life balance was a myth and you should structure your life around Aptiv. Morale is at an all time low. I wasn't experienced in the manufacturing sector prior to joining, and its a cut-throat sector. Aptiv is a manufacturing company trying to pivot into a tech company, but all senior leadership are from the manufacturing sector. American manufacturing management mythologies, everything is about cutting cents, so that the leadership can bolster their stock options.",28-Aug-20, Corporate Ops in Dublin, Dublin,
10,Great Company with Progressive Technology,5,"Current Employee, more than 1 year","Rare opportunity in Ireland to work in the automotive manufacturing industry. Genuine career opportunities. The company truly embraces diversity. Strong CEO and sense of being in the right place at the right time. Salary, pension and health benefits above average but bonus is only average. Good social scene, great offices and location, free breakfast, friendly co-workers and some memorable nights out.",Top-heavy management structure. Unfortunately there are too many middle management layers who only have administration/delegation capability rather than hands-on capability and direct experience.,24-Nov-19, Anonymous Employee ,,
11,"""Best place I've ever worked""",4,"Current Employee, less than 1 year",Great place to build new skills. Work with smartest people in the industry. Lots of benefits and competitive pay.,Work life balance. Slow hierarchical progression.,06-Apr-20, IT Analyst in Dublin, Dublin,
12,Horrific still having nightmares,1,"Former Employee, more than 1 year",My exit interview as i could see light at the end of the tunnel 😀,"Micro management, really bad culture as in NO culture. Really showing true colours during Covid forcing people to take holidays and unpaid leave and laying people off redundancies HR totally useless",04-May-20, Finance ,,
13,Great,5,"Current Employee, less than 1 year","Great place to work, lots of very talented people working in a complex global environment. Lots of learning opportunities",Can be hard to get your head around the global scale and complex divisional structures.,18-Dec-19, Anonymous Employee in Dublin, Dublin,
14,Terrible Culture,1,Current Employee,"Interesting technological challenges Diverse infrastructure and requirements, manufacturing, engineering","Terrible challenge Poor management NO leadership Highly political environment Company is doing terribly, many job losses",30-Apr-20, Enterprise Architect ,,
15,Employer review,2,Current Employee,Good to start with new levels,HR policies need extensive revision.,25-Mar-20, Anonymous Employee ,,
